"Agency Name:","County of Court","Warrant Number","Submitted","Nature of the investigation","Primary Nature","Crime of Violence Options","Secondary Nature","Order Served on","Business Name","Items to be searched for:","Start Date for Info","End Date for Info","Grounds for Issuance","Reasons for Delay (if any)","Emergency?","Facts giving rise to the emergency"
"Elk Grove Police Department","Sacramento","20SW00181","01/22/2020 - 14:31","Subject is potentially involved in a sexual assault.","Crime of Violence","Assault"," ","Business","bandwidth, Inteliquent, Facebook, Twitter","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Sun, 2019-08-04","Mon, 2019-09-16","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
","lead to flight from prosecution
lead to destruction of or tampering with evidence
","No"," "
"Sacramento County Sheriff's Department","Sacramento","19SW01453","01/23/2020 - 11:11","The search warrant was ordered sealed by the court.","Homicide"," "," ","Business","T Mobile","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Sun, 2018-04-01","Thu, 2019-03-28","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Sacramento County Sheriff's Department","Sacramento","19SW01453","01/23/2020 - 11:14","The search warrant was ordered sealed by the court.","Homicide"," "," ","Business","Sprint","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Sun, 2018-04-01","Thu, 2019-03-28","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Sacramento County Sheriff's Department","Sacramento","19SW01453","01/23/2020 - 11:16","The search warrant was ordered sealed by the court.","Homicide"," "," ","Business","T Mobile","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Sun, 2018-04-01","Thu, 2019-03-28","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"DOJ-Bureau of Investigation","Riverside","RI1104201910","01/23/2020 - 11:16","Wiretap investigation","Homicide"," ","Gang Related","Device Only"," ","Basic subscriber information from a service provider","Mon, 2019-11-04","Tue, 2019-12-03","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Sacramento County Sheriff's Dept","Sacramento","19SW01453","01/23/2020 - 11:18","The search warrant was ordered sealed by the court.","Homicide"," "," ","Business","T Mobile","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Sun, 2018-04-01","Thu, 2019-03-28","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Sacramento County Sheriff's Department","Sacramento","19SW01453","01/23/2020 - 11:20","The search warrant was ordered sealed by the court.","Homicide"," "," ","Business","T Mobile","Basic subscriber information from a service provider
Other transactional and account records from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Sun, 2018-04-01","Thu, 2019-03-28","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"DOJ-Bureau of Investigation","Riverside","RI100820196","01/23/2020 - 11:23","Wiretap investigation","Homicide"," ","Gang Related","Device Only"," ","Basic subscriber information from a service provider","Tue, 2019-10-08","Thu, 2019-11-07","tends to show that a felony has been committed or that a particular person has committed a felony","otherwise seriously jeopardize an investigation or unduly delay a trial","No"," "
"Morgan Hill PD","Santa Clara"," ","01/23/2020 - 13:43","Subject met juvenile victim online and raped her.","Rape of an intoxicated person."," "," ","Business","Facebook, Inc.","Basic subscriber information from a service provider
Location information
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Thu, 2019-08-01","Wed, 2019-10-16","tends to show that a felony has been committed or that a particular person has committed a felony","lead to destruction of or tampering with evidence","No"," "
"REACT","Santa Clara"," ","01/24/2020 - 11:41","Grand Theft / ID Theft case and possible emails of suspects","Theft/Fraud"," ","ID Theft","Business","Google","Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Thu, 2010-04-01","Fri, 2019-11-01","was used as the means of committing a felony","lead to flight from prosecution
lead to destruction of or tampering with evidence
otherwise seriously jeopardize an investigation or unduly delay a trial
","No"," "
"Shafter Police Department","Kern","20-0196","01/24/2020 - 13:12","Suspect was found in possession of narcotics consistent with narcotic sales. Suspect was found in possession of two cell phones which the search warrant was executed for data extraction. Suspect is a transient and could not be served with notification.","Narcotics"," "," ","Device Only"," ","Basic subscriber information from a service provider
Stored files (picture, documents, or other files)
Communications (email, text, voice mail, or other communication)
","Tue, 2019-01-01","Mon, 2020-01-20","was used as the means of committing a felony
tends to show that a felony has been committed or that a particular person has committed a felony
"," ","No"," "
